adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_fe66795c42e0,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_25a188f95db9,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_99ccd6639bdc,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_8614d2e9625c,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_6b16a0049064,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_591750019522,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_008824dc2100,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_82f2982b486b,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_1a203f36f7fc,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_86403e7c21d3,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_a34265cae3cc,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_049a6501acc6,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_1c75bb069f59,,False,RX1,RX NOW,BDS004213,FRM0001,False,False,
2 sprays/nostril OD,7–14 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_a013893de580,,False,RX2,RX NOW,BDS002805,FRM0001,False,False,
1 tab PO OD,5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_e4c533fe7d19,,False,SWAP1,SWAP,BDS003747,FRM0001,False,False,
1 tab PO q4–6h,3–5 days,,,,allergic_rhinitis_adult,Allergic rhinitis,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_10375ae1cbda,,False,SWAP2,SWAP,BDS045630,FRM0001,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_07c8822f2e39,,False,RX1,RX NOW,BDS003762,FRM0009,False,False,
1 tab PO q4–6h,3–5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_986b397c491d,,False,RX2,RX NOW,BDS045630,FRM0009,False,False,
1–2 tabs PO TID,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Dextromethorphan HBr 15 mg.,gold_regimen_679b8da28605,,False,RX3,RX NOW,BDS002211,FRM0009,False,False,
