adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1–2 tabs PO q4–6h PRN headache,3 days,,,,tension_headache_adult,Tension-type headache,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_ed66ee64d244,,False,RX1,RX NOW,BDS003762,FRM0021,False,False,
1 cap PO q4–6h PRN pain,3 days,,,,tension_headache_adult,Tension-type headache,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_e9832733eba5,,False,RX2,RX NOW,BDS002042,FRM0021,False,False,
1 cap PO q4–6h PRN pain,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_c4ddb28fb931,,False,RX1,RX NOW,BDS002042,FRM0022,False,False,
spray to affected area TID–QID,5 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Diclofenac Sodium 1 % w/w,gold_regimen_53c15e38809d,,False,RX2,RX NOW,BDS003914,FRM0022,False,False,
1 tab PO OD after food,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Etoricoxib 60 mg.,gold_regimen_33b846f29e07,,False,SWAP1,SWAP,BDS001078,FRM0022,False,False,
1 cap PO q4–6h PRN pain,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_11da0c042acc,,False,RX1,RX NOW,BDS002042,FRM0022,False,False,
spray to affected area TID–QID,5 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Diclofenac Sodium 1 % w/w,gold_regimen_9b0240555cc6,,False,RX2,RX NOW,BDS003914,FRM0022,False,False,
1 tab PO OD after food,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Etoricoxib 60 mg.,gold_regimen_502475044dab,,False,SWAP1,SWAP,BDS001078,FRM0022,False,False,
1 cap PO q4–6h PRN pain,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_4b84e3544344,,False,RX1,RX NOW,BDS002042,FRM0022,False,False,
spray to affected area TID–QID,5 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Diclofenac Sodium 1 % w/w,gold_regimen_ccd5a7c98a93,,False,RX2,RX NOW,BDS003914,FRM0022,False,False,
1 tab PO OD after food,3 days,,,,inflammatory_pain_adult,Inflammatory pain / joint flare,False,False,source_missing_hide_from_rx,False,Etoricoxib 60 mg.,gold_regimen_c94c832d0d81,,False,SWAP1,SWAP,BDS001078,FRM0022,False,False,
apply to dry skin BID–TID,7 days,,,,dry_skin_adult,Dry skin / xerosis,False,False,source_missing_hide_from_rx,False,10% Urea,gold_regimen_27bec7892325,,False,RX1,RX NOW,BDS001682,FRM0023,False,False,
apply to thicker dry skin BID,7 days,,,,dry_skin_adult,Dry skin / xerosis,False,False,source_missing_hide_from_rx,False,20% Urea,gold_regimen_9872adef8f2f,,False,SWAP1,SWAP,BDS001683,FRM0023,False,False,
apply to dry skin BID–TID,7 days,,,,dry_skin_adult,Dry skin / xerosis,False,False,source_missing_hide_from_rx,False,10% Urea,gold_regimen_d7d71e24e096,,False,RX1,RX NOW,BDS001682,FRM0023,False,False,
apply to thicker dry skin BID,7 days,,,,dry_skin_adult,Dry skin / xerosis,False,False,source_missing_hide_from_rx,False,20% Urea,gold_regimen_f103d0392bf4,,False,SWAP1,SWAP,BDS001683,FRM0023,False,False,
apply to dry skin BID–TID,7 days,,,,dry_skin_adult,Dry skin / xerosis,False,False,source_missing_hide_from_rx,False,10% Urea,gold_regimen_fac4b735853e,,False,RX1,RX NOW,BDS001682,FRM0023,False,False,
apply to thicker dry skin BID,7 days,,,,dry_skin_adult,Dry skin / xerosis,False,False,source_missing_hide_from_rx,False,20% Urea,gold_regimen_c2c0afebdcda,,False,SWAP1,SWAP,BDS001683,FRM0023,False,False,
1 tab PO OD,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_5687f88c70b9,,False,RX1,RX NOW,BDS004213,FRM0024,False,False,
apply thinly BID–TID,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Triamcinolone Acetonide 0.02%,gold_regimen_b98de70b5c4c,,False,RX2,RX NOW,BDS001057,FRM0024,False,False,
apply thinly BID–TID to itchy areas,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_8414f185c820,,False,SWAP1,SWAP,BDS006745,FRM0024,False,False,
1 tab PO OD,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_11adacde13f2,,False,RX1,RX NOW,BDS004213,FRM0024,False,False,
apply thinly BID–TID,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Triamcinolone Acetonide 0.02%,gold_regimen_2ece86ec5021,,False,RX2,RX NOW,BDS001057,FRM0024,False,False,
apply thinly BID–TID to itchy areas,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_4a8057c91f8d,,False,SWAP1,SWAP,BDS006745,FRM0024,False,False,
1 tab PO OD,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_c3586f0f56b9,,False,RX1,RX NOW,BDS004213,FRM0024,False,False,
apply thinly BID–TID,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Triamcinolone Acetonide 0.02%,gold_regimen_7104fd74d4be,,False,RX2,RX NOW,BDS001057,FRM0024,False,False,
apply thinly BID–TID to itchy areas,5 days,,,,itchy_dermatitis_adult,Dermatitis / eczema flare,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_b8d364ce3585,,False,SWAP1,SWAP,BDS006745,FRM0024,False,False,
1 tab PO OD,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_43c6d5599987,,False,RX1,RX NOW,BDS004213,FRM0025,False,False,
apply thinly BID–TID to bite area,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_8e9a4176297c,,False,RX2,RX NOW,BDS006745,FRM0025,False,False,
1 tab PO OD,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_79c0ee3aad84,,False,RX1,RX NOW,BDS004213,FRM0025,False,False,
apply thinly BID–TID to bite area,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_c109a752f976,,False,RX2,RX NOW,BDS006745,FRM0025,False,False,
1 tab PO OD,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_5ba13ec34bd2,,False,RX1,RX NOW,BDS004213,FRM0025,False,False,
apply thinly BID–TID to bite area,3–5 days,,,,insect_bite_reaction_adult,Insect bite reaction / itchy bite,False,False,source_missing_hide_from_rx,False,Hydrocortisone Acetate 5 mg+Mepyramine Maleate 20 mg/1 g,gold_regimen_27551e5d7dc9,,False,RX2,RX NOW,BDS006745,FRM0025,False,False,
1 tab PO q6h,5 days,,,,herpes_labialis_adult,Herpes labialis / cold sore,False,False,source_missing_hide_from_rx,False,Acyclovir 400 mg.,gold_regimen_2a3c961abd8f,,False,RX1,RX NOW,BDS008064,FRM0026,False,False,
1 tab PO q6h,5 days,,,,herpes_labialis_adult,Herpes labialis / cold sore,False,False,source_missing_hide_from_rx,False,Acyclovir 400 mg.,gold_regimen_91d6a064bd18,,False,RX1,RX NOW,BDS008064,FRM0026,False,False,
1 tab PO q6h,5 days,,,,herpes_labialis_adult,Herpes labialis / cold sore,False,False,source_missing_hide_from_rx,False,Acyclovir 400 mg.,gold_regimen_b1cfe54883d8,,False,RX1,RX NOW,BDS008064,FRM0026,False,False,
1–2 tabs PO q4–6h PRN pain,5 days,,,,herpes_zoster_adult,Herpes zoster / shingles,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_48122e601ac2,,False,RX2,RX NOW,BDS003762,FRM0027,False,False,
1–2 tabs PO q4–6h PRN pain,5 days,,,,herpes_zoster_adult,Herpes zoster / shingles,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_32d3e4c4600e,,False,RX2,RX NOW,BDS003762,FRM0027,False,False,
1–2 tabs PO q4–6h PRN pain,5 days,,,,herpes_zoster_adult,Herpes zoster / shingles,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_0f38ac77a90f,,False,RX2,RX NOW,BDS003762,FRM0027,False,False,
apply thinly BID,7 days,,,,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,False,False,source_missing_hide_from_rx,False,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,gold_regimen_f0dd90ed07a6,,False,RX1,RX NOW,BDS001491,FRM0028,False,False,
apply thinly BID,7 days,,,,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,False,False,source_missing_hide_from_rx,False,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,gold_regimen_4b57f1ab9b55,,False,RX1,RX NOW,BDS001491,FRM0028,False,False,
apply thinly BID,7 days,,,,tinea_pruritic_rash_adult,Tinea corporis / pruritic fungal rash,False,False,source_missing_hide_from_rx,False,Clotrimazole 1%+Betamethasone Dipropionate (eq. to Betamethasone 0.1%) w/w,gold_regimen_cc9f9c7d0751,,False,RX1,RX NOW,BDS001491,FRM0028,False,False,
1 dropper PO QID after meals and HS,5–7 days,,,,oral_thrush_adult,Oral thrush / candidiasis,False,False,source_missing_hide_from_rx,False,"Nystatin 100,000 Unit/1 ml.",gold_regimen_43fd131554bd,,False,RX1,RX NOW,BDS045631,FRM0029,False,False,
1 dropper PO QID after meals and HS,5–7 days,,,,oral_thrush_adult,Oral thrush / candidiasis,False,False,source_missing_hide_from_rx,False,"Nystatin 100,000 Unit/1 ml.",gold_regimen_94fdf87bcd75,,False,RX1,RX NOW,BDS045631,FRM0029,False,False,
1 dropper PO QID after meals and HS,5–7 days,,,,oral_thrush_adult,Oral thrush / candidiasis,False,False,source_missing_hide_from_rx,False,"Nystatin 100,000 Unit/1 ml.",gold_regimen_b58673bfc18a,,False,RX1,RX NOW,BDS045631,FRM0029,False,False,
apply to affected area BID–TID,5 days,,,,minor_burn_adult,Acute minor superficial burn,False,False,source_missing_hide_from_rx,False,วุ้นจากว่านหางจระเข้ 87.399 %,gold_regimen_6abf4e9c1d69,,False,RX1,RX NOW,BDS001007,FRM0030,False,False,
apply to affected area BID–TID,5 days,,,,minor_burn_adult,Acute minor superficial burn,False,False,source_missing_hide_from_rx,False,Beta-sitosterol 0.25%,gold_regimen_eabd4b51837a,,False,SWAP1,SWAP,BDS002801,FRM0030,False,False,
apply to affected area BID–TID,5 days,,,,minor_burn_adult,Acute minor superficial burn,False,False,source_missing_hide_from_rx,False,วุ้นจากว่านหางจระเข้ 87.399 %,gold_regimen_7c5c81a85ba3,,False,RX1,RX NOW,BDS001007,FRM0030,False,False,
apply to affected area BID–TID,5 days,,,,minor_burn_adult,Acute minor superficial burn,False,False,source_missing_hide_from_rx,False,Beta-sitosterol 0.25%,gold_regimen_569d97623264,,False,SWAP1,SWAP,BDS002801,FRM0030,False,False,
apply to affected area BID–TID,5 days,,,,minor_burn_adult,Acute minor superficial burn,False,False,source_missing_hide_from_rx,False,วุ้นจากว่านหางจระเข้ 87.399 %,gold_regimen_cf4b35ff6c95,,False,RX1,RX NOW,BDS001007,FRM0030,False,False,
apply to affected area BID–TID,5 days,,,,minor_burn_adult,Acute minor superficial burn,False,False,source_missing_hide_from_rx,False,Beta-sitosterol 0.25%,gold_regimen_05e3f593ab04,,False,SWAP1,SWAP,BDS002801,FRM0030,False,False,
apply thinly TID–QID,5 days,,,,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),False,False,source_missing_hide_from_rx,False,Gentamicin 1 mg./1 g.,gold_regimen_aa4ae980e25e,,False,RX1,RX NOW,BDS002003,FRM0031,False,False,
apply thinly TID–QID,5 days,,,,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),False,False,source_missing_hide_from_rx,False,Gentamicin 1 mg./1 g.,gold_regimen_b5869aaa96d1,,False,RX1,RX NOW,BDS002003,FRM0031,False,False,
apply thinly TID–QID,5 days,,,,minor_skin_infection_topical_adult,Topical bacterial skin support (nonspecific),False,False,source_missing_hide_from_rx,False,Gentamicin 1 mg./1 g.,gold_regimen_3b32ba6f2933,,False,RX1,RX NOW,BDS002003,FRM0031,False,False,
1 tab PO OD,5 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_86b2793359d8,,False,RX1,RX NOW,BDS004213,FRM0032,False,False,
1–2 drops OU / affected eye PRN,5–7 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_cec78fa6c48e,,False,RX2,RX NOW,BDS004035,FRM0032,False,False,
1–2 drops OU / affected eye PRN,5–7 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_d20296d6813d,,False,SWAP1,SWAP,BDS001552,FRM0032,False,False,
1 tab PO OD,5 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_1f11b9a8510d,,False,RX1,RX NOW,BDS004213,FRM0032,False,False,
1–2 drops OU / affected eye PRN,5–7 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_5e1eb17e488b,,False,RX2,RX NOW,BDS004035,FRM0032,False,False,
1–2 drops OU / affected eye PRN,5–7 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_aee5acbc6d2b,,False,SWAP1,SWAP,BDS001552,FRM0032,False,False,
1 tab PO OD,5 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Cetirizine dihydrochloride 10 mg.,gold_regimen_f7cbca1485bb,,False,RX1,RX NOW,BDS004213,FRM0032,False,False,
1–2 drops OU / affected eye PRN,5–7 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_ee57627f68b2,,False,RX2,RX NOW,BDS004035,FRM0032,False,False,
1–2 drops OU / affected eye PRN,5–7 days,,,,allergic_conjunctivitis_adult,Allergic conjunctivitis,False,False,source_missing_hide_from_rx,False,Carboxymethylcellulose Sodium (CMC) 0.5%+Calcium Chloride+Magnesium Chloride+Potassium Chloride+Sodium Chloride+Sodium Lactate+Hydrochloric Acid+Sodium Hydroxide,gold_regimen_f875bbc73b61,,False,SWAP1,SWAP,BDS001552,FRM0032,False,False,
1 tab PO BID,5 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,gold_regimen_0edac0f9320e,,False,RX1,RX NOW,BDS001103,FRM0033,False,False,
1–2 tabs PO q4–6h PRN pain,3 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_65b7abe25678,,False,RX2,RX NOW,BDS003762,FRM0033,False,False,
irrigate / rinse nasal cavity PRN,5 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_4aba1e354a74,,False,RX3,RX NOW,BDS044320,FRM0033,False,False,
1–2 sprays/nostril BID–TID (max 3 days),3 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),gold_regimen_5cc83b5fa297,,False,SWAP1,SWAP,BDS002215,FRM0033,False,False,
1 tab PO BID,5 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,gold_regimen_b7d2a2a8d947,,False,RX1,RX NOW,BDS001103,FRM0033,False,False,
1–2 tabs PO q4–6h PRN pain,3 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_86056078e8f8,,False,RX2,RX NOW,BDS003762,FRM0033,False,False,
irrigate / rinse nasal cavity PRN,5 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_3b1b4c82cb8b,,False,RX3,RX NOW,BDS044320,FRM0033,False,False,
1–2 sprays/nostril BID–TID (max 3 days),3 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),gold_regimen_37d9a6d825d5,,False,SWAP1,SWAP,BDS002215,FRM0033,False,False,
1 tab PO BID,5 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,gold_regimen_7b305ec3ca8e,,False,RX1,RX NOW,BDS001103,FRM0033,False,False,
1–2 tabs PO q4–6h PRN pain,3 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_e574b703d02c,,False,RX2,RX NOW,BDS003762,FRM0033,False,False,
irrigate / rinse nasal cavity PRN,5 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_d41359111c9d,,False,RX3,RX NOW,BDS044320,FRM0033,False,False,
1–2 sprays/nostril BID–TID (max 3 days),3 days,,,,bacterial_sinusitis_adult,Acute bacterial sinusitis,False,False,source_missing_hide_from_rx,False,Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),gold_regimen_de170feee361,,False,SWAP1,SWAP,BDS002215,FRM0033,False,False,
1 cap PO TID,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Amoxicillin 500 mg.,gold_regimen_e399b9ae2b08,,False,RX1,RX NOW,BDS002201,FRM0034,False,False,
1–2 tabs PO q4–6h PRN pain,3 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_b53b2f67f0a7,,False,RX2,RX NOW,BDS003762,FRM0034,False,False,
2 sprays to mouth/throat TID,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,gold_regimen_9d447e115eaa,,False,RX3,RX NOW,BDS002411,FRM0034,False,False,
2–4 sprays to throat PRN,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,gold_regimen_1680831f8422,,False,SWAP1,SWAP,BDS006462,FRM0034,False,False,
1 cap PO TID,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Amoxicillin 500 mg.,gold_regimen_c146ce92aa52,,False,RX1,RX NOW,BDS002201,FRM0034,False,False,
1–2 tabs PO q4–6h PRN pain,3 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_d13d4bb43bc7,,False,RX2,RX NOW,BDS003762,FRM0034,False,False,
2 sprays to mouth/throat TID,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,gold_regimen_d38dc3c55397,,False,RX3,RX NOW,BDS002411,FRM0034,False,False,
2–4 sprays to throat PRN,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,gold_regimen_d3f18fa0b090,,False,SWAP1,SWAP,BDS006462,FRM0034,False,False,
1 cap PO TID,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Amoxicillin 500 mg.,gold_regimen_076f4bed0461,,False,RX1,RX NOW,BDS002201,FRM0034,False,False,
1–2 tabs PO q4–6h PRN pain,3 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_cb16255159c7,,False,RX2,RX NOW,BDS003762,FRM0034,False,False,
2 sprays to mouth/throat TID,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,gold_regimen_830e487ae7d1,,False,RX3,RX NOW,BDS002411,FRM0034,False,False,
2–4 sprays to throat PRN,5 days,,,,bacterial_pharyngitis_adult,Bacterial pharyngitis / tonsillitis,False,False,source_missing_hide_from_rx,False,Benzydamine Hydrochloride 3 mg.+Ethanol+Saccharin Sodium+Methyl Hydroxybenzoate+Glycerol+PEG-40 Hydrogenated castor oil/ml.,gold_regimen_a42dd8f6a200,,False,SWAP1,SWAP,BDS006462,FRM0034,False,False,
irrigate / rinse nasal cavity PRN,5 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_69b720bfccec,,False,RX1,RX NOW,BDS044320,FRM0035,False,False,
1–2 sprays/nostril BID–TID (max 3 days),3 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),gold_regimen_64fc535881ca,,False,SWAP1,SWAP,BDS002215,FRM0035,False,False,
2 sprays/nostril OD,7–14 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_0ae97a388529,,False,SWAP2,SWAP,BDS002805,FRM0035,False,False,
irrigate / rinse nasal cavity PRN,5 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_bc19d0c492f1,,False,RX1,RX NOW,BDS044320,FRM0035,False,False,
1–2 sprays/nostril BID–TID (max 3 days),3 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),gold_regimen_845dc20e576b,,False,SWAP1,SWAP,BDS002215,FRM0035,False,False,
2 sprays/nostril OD,7–14 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),gold_regimen_6e21fd8bef72,,False,SWAP2,SWAP,BDS002805,FRM0035,False,False,
irrigate / rinse nasal cavity PRN,5 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Sodium Chloride 0.9 g./100 ml.,gold_regimen_7d01be0b3d3d,,False,RX1,RX NOW,BDS044320,FRM0035,False,False,
1–2 sprays/nostril BID–TID (max 3 days),3 days,,,,nasal_irrigation_support_adult,Nasal irrigation support / saline wash,False,False,source_missing_hide_from_rx,False,Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),gold_regimen_c5d51c5cf099,,False,SWAP1,SWAP,BDS002215,FRM0035,False,False,
