product_id,display_name,generic_key,form,route,concentration,dose_output_status,auto_dose_enabled,age_bw_rule,dose_basis,max_dose,source_ids,review_reasons,source_runtime_path,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action,source_ids,source_titles,source_urls,source_organizations,source_years,source_sections,source_snippets_short,evidence_claim_ids,disease_strategy_verified,drug_class_verified,generic_verified,product_label_verified,product_match_verified,dose_verified,pediatric_verified,antibiotic_criteria_verified,no_antibiotic_verified,red_flag_verified,clinical_readiness_refreshed,refresh_action,refresh_reason,remaining_source_gap,next_action
BDS008086,Zermed Syrup [Cetirizine 2HCl 5 mg./5 ml.],cetirizine 2hcl,syrup,oral,"{""manual_review"": false, ""matched_text"": ""5 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 1.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[27],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS004212,Zyrtec Syrup [Cetirizine 2HCI 1 mg./1 ml.],cetirizine 2hci,syrup,oral,"{""manual_review"": false, ""matched_text"": ""1 mg./1 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 1.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[28],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS006036,Icorin Kids Syrup [Butamirate Citrate 4 mg/5 ml],butamirate citrate,syrup,oral,"{""manual_review"": false, ""matched_text"": ""4 mg/5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.8}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[29],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS002290,Ivorin Syrup [Levodropropizine 30 mg./5 ml.],levodropropizine,syrup,oral,"{""manual_review"": false, ""matched_text"": ""30 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 6.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[30],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS001257,Bisolvon EX Syrup เล็ก [Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.],bromhexine hcl + k guaiacolsulphonate,syrup,oral,"{""manual_review"": false, ""matched_text"": ""100 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 20.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[31],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS001296,Bisolvon EX Syrup ใหญ่ [Bromhexine HCl 4 mg.+K guaiacolsulphonate 100 mg./5 ml.],bromhexine hcl + k guaiacolsulphonate,syrup,oral,"{""manual_review"": false, ""matched_text"": ""100 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 20.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[32],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS001253,Bisolvon Pediatric Syrup [Bromhexine HCl 4 mg./5 ml.],bromhexine hcl,syrup,oral,"{""manual_review"": false, ""matched_text"": ""4 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 0.8}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[33],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS007033,Bocytin Syrup [Carbocysteine 250 mg./5 ml.],carbocysteine,syrup,oral,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[34],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS041506,Carboflex Syrup [Carbocysteine 250 mg./5 ml.],carbocysteine,syrup,oral,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[35],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
BDS001920,Flemex Syrup [Carbocysteine 250 mg./5 ml.],carbocysteine,syrup,oral,"{""manual_review"": false, ""matched_text"": ""250 mg./5 ml"", ""parse_status"": ""parsed"", ""unit"": ""mg_per_ml"", ""value"": 50.0}",manual_review,False,,,,,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose,data/pediatric/peds_product_dose_output.json:items[36],,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet,,,,,,,,,,,,,,,,,,,manual_review_required,keep_blocked_or_manual_review,accepted source-backed evidence not available,true,add accepted source citation with snippet
