peds_dose_rule_id,generic_name,disease_key,indication_text,age_min_value,age_min_unit,age_max_value,age_max_unit,weight_min_kg,weight_max_kg,dose_basis,dose_mg_per_kg_per_dose,dose_mg_per_kg_per_day,fixed_dose,fixed_dose_unit,frequency,max_per_dose,max_per_day,duration,route,source_ids,reviewer_status,reviewer_note
PEDS_RULE_BDS002290,levodropropizine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001257,bromhexine hcl + k guaiacolsulphonate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001296,bromhexine hcl + k guaiacolsulphonate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001253,bromhexine hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007033,carbocysteine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS041506,carbocysteine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001920,carbocysteine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002659,cyclidrol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002654,ambroxol hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003697,carbocysteine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003782,carbocysteine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001231,mebendazole,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS049775,albendazole,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001458,terbutaline sulfate + glyceryl guaiacolate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS003645,salbutamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003589,salbutamol,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001071,ergotamine tartrate + caffeine,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS008034,dicyclomine + simethicone,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS040608,aluminium hydroxide gel eq. to aluminium hydroxide + magnesium hydroxide + simethicone,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS043613,sodium alginate ph eur + potassium bicarbonate + calcium carbonate + carbomer,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS002033,sodium alginate + sodium bicarbonate + calcium carbonate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS002014,sodium alginate + sodium bicarbonate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002013,sodium alginate + sodium bicarbonate + calcium carbonate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS043606,sodium alginate + sodium bicarbonate + calcium carbonate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003918,sucralfate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003917,sucralfate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS003915,sucralfate,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS001013,simethicone,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002637,domperidone,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS046503,domperidone,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS001665,ibuprofen,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007151,ibuprofen,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS002845,ibuprofen,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007031,bromhexine hcl,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS008325,hyoscine n butylbromide,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose
PEDS_RULE_BDS007743,glucosamine sulfate sodium,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
PEDS_RULE_BDS043605,glucosamine sulfate sodium,,,,,,,,,,,,,,,,,,oral,,manual_review,missing_verified_pediatric_dose_source; missing_age_bw_rule; missing_max_dose; concentration_missing_or_requires_review
