issue_id,severity,disease_key,regimen_id,product_id,generic_name,current_sig,current_dose,current_duration,issue_type,why_suspect,source_status,evidence_status,recommended_action,source_gap_needed,test_case_needed,source_file,source_runtime_path,display_name,issues,id,reasons,source_row,status,correction_id,target_id,action
CLIN_FRM0017_RX1_FAST_SOURCE_GAP,high,viral_fever_bodyache_adult,FRM0017,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN fever/pain,1–2 tabs PO q4–6h PRN fever/pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[34],,,,,,,,,
CLIN_FRM0017_RX2_FAST_SOURCE_GAP,high,viral_fever_bodyache_adult,FRM0017,BDS002042,Ibuprofen + Polyethylene 400 + Porpylene Glycol,1 cap PO q4–6h PRN pain,1 cap PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[35],,,,,,,,,
CLIN_FRM0018_RX1_FAST_SOURCE_GAP,high,abdominal_gas_bloating_adult,FRM0018,BDS001079,Simethicone,1 chewable tab PO TID–QID,1 chewable tab PO TID–QID,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[36],,,,,,,,,
CLIN_FRM0018_RX2_FAST_SOURCE_GAP,high,abdominal_gas_bloating_adult,FRM0018,BDS006054,Simethicone,1 cap PO OD–BID after meals,1 cap PO OD–BID after meals,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[37],,,,,,,,,
CLIN_FRM0018_RX2_DUPLICATE,medium,abdominal_gas_bloating_adult,FRM0018,BDS006054,Simethicone,1 cap PO OD–BID after meals,1 cap PO OD–BID after meals,3 days,duplicate_therapeutic_role_or_ingredient,Same generic/role appears more than once in the regimen.,source_gap,pending_source_collection,manual_review_required,False,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[38],,,,,,,,,
CLIN_FRM0019_RX1_FAST_SOURCE_GAP,high,abdominal_colic_adult,FRM0019,BDS001283,Hyoscine-N-butylbromide,1–2 tabs PO TID–QID PRN cramp,1–2 tabs PO TID–QID PRN cramp,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[39],,,,,,,,,
CLIN_FRM0019_RX2_FAST_SOURCE_GAP,high,abdominal_colic_adult,FRM0019,BDS001079,Simethicone,1 chewable tab PO TID–QID,1 chewable tab PO TID–QID,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[40],,,,,,,,,
CLIN_FRM0020_RX1_FAST_SOURCE_GAP,high,muscle_spasm_adult,FRM0020,BDS001271,Tolperisone,1 tab PO TID,1 tab PO TID,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[41],,,,,,,,,
CLIN_FRM0020_RX2_FAST_SOURCE_GAP,high,muscle_spasm_adult,FRM0020,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN pain,1–2 tabs PO q4–6h PRN pain,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[42],,,,,,,,,
CLIN_FRM0021_RX1_FAST_SOURCE_GAP,high,tension_headache_adult,FRM0021,BDS003762,Paracetamol,1–2 tabs PO q4–6h PRN headache,1–2 tabs PO q4–6h PRN headache,3 days,regimen_listed_usable_despite_evidence_missing,Line is allowed in FAST MODE without verified source evidence.,source_gap,pending_source_collection,manual_review_required,True,True,data/meta/clinical_regimen_quality_issues.json,data/meta/clinical_regimen_quality_issues.json:items[43],,,,,,,,,
