common_side_effects,contraindications,generic_name,hepatic_notes,major_interactions,pediatric_notes,precautions,pregnancy_lactation,product_id,red_flag_referral,renal_notes,safety_id,safety_ready,safety_source_level,serious_side_effects,source_ids,missing_fields
,,Alginic acid + Aluminium hydroxide gel + Magnesium carbonate,,,,,,BDS001036,,,safe_fee522cc1cd2,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Aluminium Hydroxide + Magnesium Trisilicate + Kaolin,,,,,,BDS001051,,,safe_a308058986a5,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Bismuth Subsalicylate,,,,,,BDS002030,,,safe_99a79f695d28,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Sodium alginate + Sodium bicarbonate + Calcium carbonate,,,,,,BDS002011,,,safe_0986c0e6f37d,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Sodium alginate + Sodium bicarbonate + Calcium Carbonate,,,,,,BDS002015,,,safe_529ba3c4436c,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,AHMC Type F-MA II ( Aluminum Hydroxide + Magnesium Carbonate ) + Simethicone,,,,,,BDS044334,,,safe_c540bd3d2c06,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Calcium Carbonate + Simethicone,,,,,,BDS044908,,,safe_25852601e6f0,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Sucralfate,,,,,,BDS003903,,,safe_8547ac5bb64c,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Pantoprazole,,,,,,BDS001466,,,safe_57d3d6455a8a,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Omeprazole,,,,,,BDS007108,,,safe_4db93f7398a1,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Omeprazole,,,,,,BDS002629,,,safe_33b758e3fc35,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Rebamipide,,,,,,BDS003417,,,safe_3d9a6ccf8611,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Esomeprazole,,,,,,BDS002898,,,safe_f1d0879153cb,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Esomeprazole,,,,,,BDS002903,,,safe_5480e59341dc,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Omeprazole,,,,,,BDS045613,,,safe_deb7d52ada17,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Omeprazole,,,,,,BDS003065,,,safe_e9dc0c84f2b5,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Omeprazole,,,,,,BDS006714,,,safe_cc8d8b0b8598,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Rabeprazole,,,,,,BDS003138,,,safe_fdab2d39e770,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
,,Lansoprazole,,,,,,BDS003110,,,safe_0b5f939e1c3c,False,workbook_seed_only,,,source-backed contraindications; interactions; side effects; pregnancy/renal/hepatic cautions
