adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids,product_match_gap_reason
1–2 drops OU / affected eye PRN,5–7 days,,,,eye_irritation_adult,Eye irritation / dust exposure,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_dab470bcef1f,,False,RX2,RX NOW,BDS004035,FRM0010,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 drops OU / affected eye PRN,5–7 days,,,,eye_irritation_adult,Eye irritation / dust exposure,False,False,source_missing_hide_from_rx,False,Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%),gold_regimen_f47fd6e03f7c,,False,SWAP2,SWAP,BDS003679,FRM0010,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 drops OU / affected eye PRN,5–7 days,,,,eye_irritation_adult,Eye irritation / dust exposure,False,False,source_missing_hide_from_rx,False,Sodium Hyaluronate 0.18% (Sodium Hyaluronate 1.8 mg.+Sodium Chloride 2.8 mg.+Potassium Chloride 1 mg.+Disodium Hydrogenphosphate 3.2 mg.+Sodium Citrate 0.3 mg.+Magnesium Chloride 0.09 mg.+Calcium Chloride 0.09 mg.),gold_regimen_93b70f13a439,,False,RX2,RX NOW,BDS004035,FRM0010,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1–2 drops OU / affected eye PRN,5–7 days,,,,eye_irritation_adult,Eye irritation / dust exposure,False,False,source_missing_hide_from_rx,False,Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%),gold_regimen_265b567a7311,,False,SWAP2,SWAP,BDS003679,FRM0010,False,False,,High-priority OPD row still needs accredited source evidence and product-specific match.
1 cap PO q4–6h PRN pain,3 days,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_d6b79d2adeea,,False,RX1,RX NOW,BDS002042,FRM0011,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_675536e084e1,,False,RX1,RX NOW,BDS002042,FRM0011,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_c72942b7c333,,False,RX1,RX NOW,BDS002042,FRM0011,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1 cap PO q4–6h PRN pain,3 days,,,,musculoskeletal_pain_adult,Musculoskeletal pain / strain,False,False,source_missing_hide_from_rx,False,Ibuprofen 400 mg.+Polyethylene 400+Porpylene Glycol,gold_regimen_e8fa649f2912,,False,RX1,RX NOW,BDS002042,FRM0011,False,False,,"DailyMed first-pack evidence found for 200 mg OTC ibuprofen label, but workbook row is 400 mg/combination or lacks exact strength/form match."
1–2 tabs PO q4–6h PRN pain,3 days,,,,migraine_adult,Migraine,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_1a08edb2f392,,False,RX2,RX NOW,BDS003762,FRM0012,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
1–2 tabs PO q4–6h PRN pain,3 days,,,,migraine_adult,Migraine,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_47d3160bdb3e,,False,RX2,RX NOW,BDS003762,FRM0012,False,False,,"Generic evidence exists, but this product/disease row lacks exact product, strength, form, route, or disease mapping evidence."
