query_id,priority,product_id,product_name,generic_name,disease_key,source_category,source_target,query,expected_fields,retrieval_status,notes
gq_dd62bccceb46,A,BDS002215,Iliadin Spray [Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.)],Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.),bacterial_sinusitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_sinusitis_peds guideline Oxymetazoline Hydrochloride 0.05% (0.5 mg./1 ml.) dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_9425163ed4c2,A,BDS001046,AMK 228 [Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.],Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,bacterial_pharyngitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_pharyngitis_peds guideline Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_617b96fa6d03,A,BDS003763,Tylenol Suspension [Paracetamol 160 mg./5 ml.],Paracetamol 160 mg./5 ml.,bacterial_pharyngitis_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,bacterial_pharyngitis_peds guideline Paracetamol 160 mg./5 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_93594a3ce928,A,BDS007066,B.Roxi [Roxithromycin 150 mg.],Roxithromycin 150 mg.,macrolide_respiratory_bacterial_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,macrolide_respiratory_bacterial_adult guideline Roxithromycin 150 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_b35bf1eb36f6,A,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,macrolide_respiratory_bacterial_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,macrolide_respiratory_bacterial_adult guideline Paracetamol 500 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_964d3dbb8237,A,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,dental_infection_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,dental_infection_support_adult guideline Amoxicillin 875 mg.+Clavulanic Acid 125 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_46879f19daab,A,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,dental_infection_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,dental_infection_support_adult guideline Paracetamol 500 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_2aaecde60420,A,BDS002201,Ibiamox 500 mg [Amoxicillin 500 mg.],Amoxicillin 500 mg.,infected_insect_bite_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,infected_insect_bite_adult guideline Amoxicillin 500 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_ec1f28d08bbb,A,BDS001991,Fucidin Cream [Fusidic acid 20 mg./1 g.],Fusidic acid 20 mg./1 g.,infected_insect_bite_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,infected_insect_bite_adult guideline Fusidic acid 20 mg./1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_24f5e4b2d29b,A,BDS001046,AMK 228 [Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.],Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml.,infected_insect_bite_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,infected_insect_bite_peds guideline Amoxicillin 200 mg.+Clavulanic Acid 28 mg./5 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_afef960ac6f3,A,BDS001991,Fucidin Cream [Fusidic acid 20 mg./1 g.],Fusidic acid 20 mg./1 g.,infected_insect_bite_peds,disease_guideline,Thai RDU/MOPH/NICE/CDC,infected_insect_bite_peds guideline Fusidic acid 20 mg./1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_0080cd381f15,A,BDS001103,AMK 1000 mg [Amoxicillin 875 mg.+Clavulanic Acid 125 mg.],Amoxicillin 875 mg.+Clavulanic Acid 125 mg.,cellulitis_mild_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,cellulitis_mild_adult guideline Amoxicillin 875 mg.+Clavulanic Acid 125 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
