bds,product_name,generic_group,category,form,pediatric_target_status,supported_target_modes,default_target_mode,default_target_value,default_target_unit,fixed_amount_min_per_dose,fixed_amount_max_per_dose,fixed_amount_unit,reference_source_product,reference_source_shortcut,reference_frequency,reference_duration,reference_dispense,same_generic_reference_count,same_generic_reference_disease_keys,notes
BDS001075,Arcoxia 90 mg (5 tabs),Etoricoxib,NSAIDs (oral anti-inflammatory painkillers),tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS040616,Biocoxib 90 mg. (5 tabs),Etoricoxib,NSAIDs (oral anti-inflammatory painkillers),tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS042806,Eberil 120 (5 tabs),Etoricoxib,NSAIDs (oral anti-inflammatory painkillers),tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS043130,Felopine 5 (3 blister),Felodipine,Hypertension & cardiovascular,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS003174,Plendil 5 mg (30 tabs),Felodipine,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001922,Fibril 160 (10 cap),Fenofibrate,Lipid lowering,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006466,Supralip NT 145 mg (10 tabs),Fenofibrate,Lipid lowering,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS008045,Ferropro (100 tabs),Ferrous Fumarate + Thiamine Mononitrate + Riboflavin + Cyanocobalamin,Vitamins & supplements,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS043159,Ferli-6 (30 tabs),Ferrous fumarate + Folic + Pyridoxine hydrochloride,Vitamins & supplements,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001978,Fenafex 180 mg (10 tabs),Fexofenadine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001953,Fenafex 60 mg (10 tabs),Fexofenadine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007975,Fexotine (10 tabs),Fexofenadine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS003769,Telfast 60 mg (10 tabs),Fexofenadine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS049255,Vifas 180 mg. (10 tabs),Fexofenadine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS049254,Vifas 60 mg. (10 tabs),Fexofenadine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001975,Firide 1 mg (10 tabs),Finasteride,Hair & scalp,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002016,Firide 5 mg (10 tabs),Finasteride,Urology & BPH,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007274,Spasuri (10 tabs),Flavoxate HCl,Antispasmodics & abdominal cramps,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007128,Funa 200 mg (1 cap),Fluconazole,Antifungals,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS008142,Liberal Cap (10 cap),Flunarizine,"Vertigo, circulation & vascular support",capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007222,Poli-Flunarin (10 cap),Flunarizine,"Vertigo, circulation & vascular support",capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS047664,Sobelin (10 cap),Flunarizine,"Vertigo, circulation & vascular support",capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006181,FML Ophthalmic Suspension (5 ml.),Fluorometholone 0.1 % + Polyvinyl Alcohol + Sodium Chloride + Sodium Phosphste Monobasic,Eye anti-allergy,eye drops,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001981,Flarex (5 ml.),Fluorometholone Acetate 0.1 % + Monobasic Sodium Phosphate + Sodium Chloride + Edetate Disodium,Eye anti-allergy,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001009,Avamys (120 doses),Fluticasone furoate /spray + อื่นๆ,Nasal sprays & decongestants,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007123,Folic Acid (10 tabs),Folic Acid,Vitamins & supplements,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006704,Folivit tabslet (100 tabs),Folic Acid,Vitamins & supplements,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001987,Furetic 40 mg (10 tabs),Furosemide,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002047,Gabutin 100 mg (10 cap),Gabapentin,Neurology & anticonvulsants,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
